OBJECTID,ID,SECCLASS,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,STATE_ID,FDID,FRST_MBRS,EMS_MBRS,TOTALPERS,NUMTRKS,NUMABUL,TOTAL_VEHI,NBR_STA,OWNER,LEVEL,TYPE,SPECIALTY,EMSLICENSE,EMERPHONE,EMS,PERM_ID,GNIS_ID,GlobalID,x2,y2
343,10462121,UNCLASSIFIED,HOODLAND FIRE DISTRICT 74 - BRIGHTWOOD STATION,503-622-4474,61388 UNITED STATES HIGHWAY 26, ,BRIGHTWOOD,OR,97011, ,CLACKAMAS,41005,ON SOUTH SIDE OF EAST HIGHWAY 26 BETWEEN EAST SUNRAE DRIVE AND EAST BRIGHTWOOD LOOP ROAD., , , ,3/27/2008 12:00:00 AM,PHONE,3/28/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,121628756,-122.0329022,45.3753405,NAVTEQ,2007Q2,ONENTITY,YES,TGS,CLAC_FIR31A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,fc1acc0b-4a24-4f26-8443-50a57fd50f4f,-13584642.5774,5680806.4719
344,10462120,UNCLASSIFIED,SALEM FIRE DEPARTMENT STATION 4,503-588-6245,200 ALICE AVENUE SOUTH, ,SALEM,OR,97302,4403,MARION,41047,LOCATED ON THE SOUTH SIDE OF ALICE AVENUE SOUTH BETWEEN COMMERCIAL STREET SOUTHEAST AND MOUNTAIN VIEW DRIVE SOUTH., , , ,3/17/2008 12:00:00 AM,PHONE,3/17/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,21373083,-123.0470012,44.9133104,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MARI_FIR19A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,a816cbb6-1db5-4464-bfcc-bb107998509a,-13697531.5338,5607884.7628
345,10462077,UNCLASSIFIED,CHARLESTON RURAL FIRE PROTECTION DISTRICT STATION 1,541-888-3268,92342 CAPE ARAGO HIGHWAY, ,COOS BAY,OR,97420,8745,COOS,41011,ON THE SOUTHEAST SIDE OF CAPE ARAGO HWY BETWEEN KELLOGG BLVD AND LOWELL LN, , , ,5/8/2008 12:00:00 AM,PHONE,5/8/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,42269841,-124.29186,43.3709611,NAVTEQ,2007Q2,ONENTITY,YES,TGS,COOS_FIR05A,00053,0,0,43,0,0,0,3,LOCAL, ,MOSTLY VOLUNTEER, , , ,Y, , ,1af0e72b-6678-48a7-b9c6-c0b23614bfbd,-13836108.5186,5368607.9334
346,10462073,UNCLASSIFIED,BANKS FIRE PROTECTION DISTRICT 13 - TIMBER STATION,503-324-6262,60900 NORTHWEST COCHRAN ROAD, ,TIMBER,OR,97144, ,WASHINGTON,41067,"SE SIDE OF COCHRAN RD, APPROX 0.38 MILES SW OF NW TIMBER RD", , , ,3/17/2008 12:00:00 AM,PHONE,3/17/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,87486134,-123.3009002,45.7158098,NAVTEQ,2007Q2,ONENTITY,NO,TGS,WASH_FIR32A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,b486cbda-8001-443d-9ef1-ff4a7b4963fa,-13725795.4623,5734924.3503
347,10462072,UNCLASSIFIED,WASHINGTON COUNTY RURAL FIRE PROTECTION DISTRICT 2,503-647-9900,31370 NORTHWEST COMMERCIAL STREET, ,NORTH PLAINS,OR,97133,7101,WASHINGTON,41067,SE CORNER OF NW 314TH AVE AND NW COMMERCIAL ST, , , ,3/17/2008 12:00:00 AM,PHONE,3/17/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,21326140,-123.00027,45.5973309,NAVTEQ,2007Q2,ONENTITY,YES,TGS,WASH_FIR29A,00402,0,0,48,0,0,0,2,LOCAL, ,MOSTLY VOLUNTEER, , , ,Y, , ,f48385b3-9b72-4c56-94b9-1d26ae004b61,-13692329.4627,5716054.8075
348,10462071,UNCLASSIFIED,SILVERTON FIRE DISTRICT STATION 3 - ABIQUA,503-873-5328,17447 NORTH ABIQUA ROAD, ,SILVERTON,OR,97381, ,MARION,41047,LOCATED ON THE NORTHEAST SIDE OF ABIQUA ROAD NORTHEAST .64 MILES SOUTHEAST OF HAZELNUT RIDGE ROAD NORTHEAST., , , ,3/20/2008 12:00:00 AM,PHONE,3/20/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,121270242,-122.70365,45.0214896,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MARI_FIR02A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,44d0a23c-f424-44aa-81ec-2b4e71a8668b,-13659309.8632,5624905.6877
349,10462070,UNCLASSIFIED,WASHINGTON COUNTY RURAL FIRE PROTECTION DISTRICT 2 STATION 19,503-628-1080,15200 SOUTHWEST MIDWAY ROAD, ,HILLSBORO,OR,97123,9383,WASHINGTON,41067,EAST SIDE OF SW MIDWAY RD LESS THAN 0.10 MILE SOUTH OF SW RAYNARD RD., , , ,5/12/2008 12:00:00 AM,PHONE,5/12/2008 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",21316033,-122.95984,45.41042,NAVTEQ,2007Q2,ONENTITY,YES,TGS,WASH_FIR24A, ,0,0,0,0,0,0,0, , , , , , ,N, , ,edfa8970-b59a-4fa2-b05e-3219df8534f7,-13687828.8108,5686367.2559
350,10462069,UNCLASSIFIED,VALE FIRE AND AMBULANCE,541-473-3796,950 HOPE STREET, ,VALE,OR,97918,9705,MALHEUR,41045,NORTH SIDE OF HOPE ST W BETWEEN ELM ST AND 17TH ST N, , , ,3/17/2008 12:00:00 AM,PHONE,3/17/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,86661097,-117.25003,43.986,NAVTEQ,2007Q2,ONENTITY,YES,TGS,MALH_FIR07A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,74b35232-3eb8-4ebb-9aba-c29ced5e4aee,-13052215.7106,5463276.5174
351,10462058,UNCLASSIFIED,MYRTLE POINT FIRE DEPARTMENT STATION 2,541-572-5422,DEMENT CREEK ROAD AND POWERS HIGHWAY, ,MYRTLE POINT,OR,97458, ,COOS,41011,ON SOUTH SIDE OF DEMENT CREEK ROAD BETWEEN WALTER DONALD ROAD AND POWERS HIGHWAY., , , ,4/1/2008 12:00:00 AM,PHONE,4/1/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,86802285,-124.1473096,43.0086008,NAVTEQ,2007Q2,ONENTITY,NO,TGS,COOS_FIR17A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,6ce2aed8-75fc-4920-98e9-a9637a528cad,-13820017.2323,5313281.5621
352,10462057,UNCLASSIFIED,MYRTLE POINT FIRE DEPARTMENT STATION 3,541-572-5422,BRADY ROAD, ,MYRTLE POINT,OR,97458, ,COOS,41011,ON SOUTH SIDE OF BRADY ROAD 0.12 MILES WEST OF MYRTLE POINT-SITKUM LANE., , , ,4/1/2008 12:00:00 AM,PHONE,4/1/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,119715485,-124.0809104,43.1052517,NAVTEQ,2007Q2,ONENTITY,NO,TGS,COOS_FIR18A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,321a497b-8482-4186-b6ec-79da412927b0,-13812625.7084,5328006.4656
353,10462056,UNCLASSIFIED,COQUILLE FIRE DEPARTMENT STATION 4,541-396-2232,11261 STATE HIGHWAY 42, ,MYRTLE POINT,OR,97458, ,COOS,41011,ON THE EAST SIDE OF STATE HIGHWAY 42 APPROX. 0.68 MILES NORTHWEST OF LEEP ROAD, , , ,4/2/2008 12:00:00 AM,PHONE,4/1/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,119726580,-124.173561,43.120761,NAVTEQ,2007Q2,ONENTITY,NO,TGS,COOS_FIR21A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,d554b8c7-c6fc-4859-b148-df891839afee,-13822939.5258,5330371.4956
354,10462055,UNCLASSIFIED,MILLINGTON RURAL FIRE PROTECTION DISTRICT 5 STATION 1,541-267-3151,62866 MILLINGTON FRONTAGE ROAD, ,COOS BAY,OR,97420,6231,COOS,41011,ON THE WEST SIDE OF MILLINGTON FRONTAGE ROAD BETWEEN MCKENNA LN AND CENTRAL LN.,COOS FOREST PROTECTION ASSOCIATION,541-267-3161, ,5/14/2008 12:00:00 AM,PHONE,5/13/2008 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",109822102,-124.19986,43.3346535,NAVTEQ,2007Q2,ONENTITY,YES,TGS,COOS_FIR22A,00229,0,0,17,0,0,0,2,LOCAL, ,MOSTLY VOLUNTEER, , , ,N, , ,a938a168-ea20-44be-8d24-b414c2c448c6,-13825867.1261,5363049.5284
355,10462054,UNCLASSIFIED,BRIDGE RURAL FIRE,541-572-5125,98183 BRIDGE LANE, ,MYRTLE POINT,OR,97458,9823,COOS,41011,"ON THE NE SIDE OF BRIDGE LN, LESS THAN 0.1 MILE NW OF OLD BIG CREEK RD.", , , ,5/13/2008 12:00:00 AM,PHONE,5/14/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,92554715,-124.0098724,43.0259506,NAVTEQ,2007Q2,ONENTITY,NO,TGS,COOS_FIR26A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,f59a5a7b-4db3-4e6c-8dbf-27a0b4e5a512,-13804717.8038,5315923.1256
356,10462053,UNCLASSIFIED,CHARLESTON RURAL FIRE PROTECTION DISTRICT - CHARLESTON STATION,541-888-3268,90414 METCALF ROAD, ,COOS BAY,OR,97420, ,COOS,41011,ON THE SOUTH SIDE OF METCALF ROAD BETWEEN CHARLESTON AVENUE AND BOAT BASIN ROAD., , , ,3/17/2008 12:00:00 AM,PHONE,3/17/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,86765093,-124.324775,43.3411009,NAVTEQ,2007Q2,ONENTITY,NO,TGS,COOS_FIR27A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,170d3c25-e335-43df-8d77-ab90f24be479,-13839772.5972,5364036.3239
357,10462050,UNCLASSIFIED,DORA-SITKUM RURAL FIRE PROTECTION DISTRICT,541-572-5944,56127 GOLD BRICK ROAD, ,MYRTLE POINT,OR,97458,9615,COOS,41011,ON THE EAST SIDE OF GOLD BRICK RD BETWEEN 0.1 AND 0.2 MILE SOUTH OF MYRTLE POINT-SITKUM RD., , , ,5/14/2008 12:00:00 AM,PHONE,5/13/2008 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",119714204,-123.95512,43.1542736,NAVTEQ,2007Q2,ONENTITY,NO,TGS,COOS_FIR30A,00486,0,0,15,0,0,0,1,LOCAL, ,VOLUNTEER, , , , , , ,1052c368-d23d-4959-ad4c-dfe3896b2593,-13798622.7935,5335483.9047
358,10462049,UNCLASSIFIED,NORTH BEND FIRE DEPARTMENT STATION 2,541-756-7757,1387 AIRPORT WAY, ,NORTH BEND,OR,97459,2077,COOS,41011,ON THE EAST SIDE OF AIRPORT WAY 0.13 MILES NORTH OF COLORADO AVENUE., , , ,4/1/2008 12:00:00 AM,PHONE,4/1/2008 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",119731471,-124.2456193,43.4149898,NAVTEQ,2007Q2,ONENTITY,NO,TGS,COOS_FIR31A, ,0,0,0,0,0,0,0, , , , , , ,N, , ,fcb43d5e-b19c-415c-87b4-fe7a6b0f3082,-13830961.0249,5375352.8401
359,10462048,UNCLASSIFIED,NORTH BEND FIRE STATION 3,541-751-9659,2222 NEWMARK STREET, ,NORTH BEND,OR,97459,1222,COOS,41011,ON THE NORTH SIDE OF NEWMARK ST BETWEEN CEDAR ST AND MADRONA ST., , , ,5/13/2008 12:00:00 AM,PHONE,5/13/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,42269779,-124.2429509,43.3917717,NAVTEQ,2007Q2,ONENTITY,YES,TGS,COOS_FIR32A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,ed12bebe-9334-43bd-8f09-3ee87e6fad58,-13830663.9877,5371795.3616
360,10462047,UNCLASSIFIED,MILLINGTON RURAL FIRE PROTECTION DISTRICT 5 STATION 2,541-267-3151,62274 OLIVE BARBER ROAD, ,COOS BAY,OR,97420,7302,COOS,41011,ON THE WEST SIDE OF OLIVE BARBER ROAD APPROX. 0.23 MILES SOUTH OF EARL LANE, , , ,3/18/2008 12:00:00 AM,PHONE,3/27/2008 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",92558087,-124.1936712,43.3215204,NAVTEQ,2007Q2,ONENTITY,NO,TGS,COOS_FIR33A, ,0,0,0,0,0,0,0, , , , , , ,N, , ,766e2f3b-61f0-4eb5-9d20-68b0bdfe6243,-13825178.1907,5361039.7606
361,10462046,UNCLASSIFIED,SCIO RURAL FIRE PROTECTION DISTRICT STATION 90,503-394-3000,38975 SOUTHWEST 6TH AVENUE, ,SCIO,OR,97374,9517,LINN,41043,LOCATED ON THE NORTHWEST CORNER OF SOUTHWEST 6TH AVENUE AND SOUTH MAIN STREET., , , ,5/13/2008 12:00:00 AM,PHONE,5/13/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,86562987,-122.84898,44.7004352,NAVTEQ,2007Q2,ONENTITY,YES,TGS,LINN_FIR14A,00327,0,0,47,0,0,0,3,LOCAL, ,MOSTLY VOLUNTEER, , , ,Y, , ,4c15de0e-a42e-4afa-aee7-ed80c999d8d0,-13675487.9128,5574484.2605
362,10462043,UNCLASSIFIED,CAPE FERRELO RURAL FIRE PROTECTION DISTRICT,541-469-5637,96349 CAPE FERRELO ROAD, ,BROOKINGS,OR,97415,9185,CURRY,41015,LOCATED ON THE NORTH SIDE OF CAPE FERRELO ROAD BETWEEN PACIFIC CREST DRIVE AND WOODTON LANE., , , ,5/12/2008 12:00:00 AM,PHONE,5/12/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,86901994,-124.3228705,42.1258301,NAVTEQ,2007Q2,ONENTITY,YES,TGS,CURR_FIR05A,00476,0,0,33,0,0,0,1,LOCAL, ,VOLUNTEER, , , ,Y, , ,79e98a5f-a7c2-4bce-9cd0-4e28ab491d7c,-13839560.5574,5179847.3652
363,10462042,UNCLASSIFIED,HARBOR RURAL FIRE PROTECTION DISTRICT,541-469-5301,98069 WEST BENHAM LANE, ,HARBOR,OR,97415,9546,CURRY,41015,LOCATED ON THE NORTH SIDE OF WEST BENHAM LANE BETWEEN OLSEN ROAD AND MARYS LANE., , , ,5/13/2008 12:00:00 AM,PHONE,5/13/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,86910329,-124.254772,42.0428207,NAVTEQ,2007Q2,ONENTITY,YES,TGS,CURR_FIR07A,00151,0,0,21,0,0,0,1,LOCAL, ,VOLUNTEER, , , ,Y, , ,0667c482-6cd0-48b0-8dab-92a3804b251d,-13831979.8685,5167396.4547
364,10462041,UNCLASSIFIED,OPHIR RURAL FIRE DEPARTMENT,541-247-2452,32888 NESIKA ROAD, ,GOLD BEACH,OR,97444,9507,CURRY,41015,LOCATED ON THE WEST SIDE OF NEISIKA ROAD BETWEEN CHANDLER ROAD AND WILLIAMS STREET., , , ,5/23/2008 12:00:00 AM,PHONE,5/23/2008 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",121101836,-124.4150512,42.5018309,NAVTEQ,2007Q2,ONENTITY,YES,TGS,CURR_FIR08A,00275,0,0,11,0,0,0,1,LOCAL, ,VOLUNTEER, , , ,N, , ,7702309e-e083-407f-ab4b-7088c5eda676,-13849822.0751,5236450.7252
365,10462040,UNCLASSIFIED,PISTOL RIVER RURAL FIRE PROTECTION DISTRICT,541-247-6765,24686 PISTOL RIVER LOOP EAST, ,PISTOL RIVER,OR,97444,9601,CURRY,41015,LOCATED ON WEST SIDE OF PISTOL RIVER LOOP 0.55 MILES NORTH FROM FRONTAGE ROAD, , , ,3/21/2008 12:00:00 AM,PHONE,3/28/2008 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",87461931,-124.3949609,42.27684,NAVTEQ,2007Q2,ONENTITY,YES,TGS,CURR_FIR09A,00470,0,0,17,0,0,0,1,LOCAL, ,VOLUNTEER, , , ,N, , ,e2407320-d91e-4f95-8740-56c78a1e2124,-13847585.6245,5202539.87
366,10462039,UNCLASSIFIED,LANGLOIS RURAL FIRE PROTECTION DISTRICT,541-247-3242,94322 1ST STREET, ,LANGLOIS,OR,97450, ,CURRY,41015,LOCATED ON SOUTH SIDE OF FIRST ST LESS THAN A TENTH OF A MILE EAST FROM OREGON COAST HIGHWAY, , , ,3/21/2008 12:00:00 AM,PHONE,4/1/2008 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",86808897,-124.4484598,42.925621,NAVTEQ,2007Q2,ONENTITY,NO,TGS,CURR_FIR11A,00202,0,0,10,0,0,0,1,LOCAL, ,VOLUNTEER, , , ,N, , ,6b583d9e-6c49-4b9b-bcd8-7d3e1fd7beee,-13853541.1091,5300657.9379
367,10462037,UNCLASSIFIED,WINCHUCK RURAL FIRE PROTECTION DISTRICT,541-469-7751,363 WINCHUCK RIVER ROAD, ,BROOKINGS,OR,97415,8311,CURRY,41015,LOCATED ON THE NORTH SIDE OF WINCHUCK RIVER ROAD .5 MILES NORTHEAST OF WINRIVER ROAD., , , ,5/14/2008 12:00:00 AM,PHONE,5/14/2008 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",121102405,-124.16581,42.0342606,NAVTEQ,2007Q2,ONENTITY,YES,TGS,CURR_FIR13A,00468,0,0,11,0,0,0,1,LOCAL, ,VOLUNTEER, , , ,N, , ,d6663d24-bbe8-4443-a0d2-9e362537354a,-13822076.6657,5166113.4105
368,10462036,UNCLASSIFIED,CEDAR VALLEY FIRE DEPARTMENT,541-247-3242,96526 CEDAR VALLEY ROAD, ,GOLD BEACH,OR,97444, ,CURRY,41015,LOCATED ON WEST SIDE OF CEDAR VALLEY RD LESS THAN A TENTH OF A MILE NORTH FROM RE-PETE, , , ,3/21/2008 12:00:00 AM,PHONE,3/18/2008 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",121097369,-124.36804,42.4877499,NAVTEQ,2007Q2,ONENTITY,NO,TGS,CURR_FIR14A, ,0,0,0,0,0,0,0, , , , , , ,N, , ,3b893c5a-98e2-4511-bc91-845934bc1179,-13844588.814,5234324.8527
369,10462035,UNCLASSIFIED,MILL CITY FIRE DEPARTMENT,503-897-2390,400 SOUTH 1ST AVENUE, ,MILL CITY,OR,97360, ,LINN,41043,EAST SIDE OF S 1ST AVE BETWEEN CEDAR ST AND SW EVERGREEN ST, , , ,3/17/2008 12:00:00 AM,PHONE,3/17/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,87814871,-122.4770376,44.75214,NAVTEQ,2007Q2,ONENTITY,YES,TGS,LINN_FIR13A,00228,0,0,20,0,0,0,1,LOCAL, ,MOSTLY VOLUNTEER, , , ,Y, , ,b86bc60f-2111-4369-86b8-b08b27c5facf,-13634083.4835,5582585.5225
370,10462034,UNCLASSIFIED,BLACK BUTTE RANCH RURAL FIRE PROTECTION DISTRICT,541-595-2288,13511 HAWKS BEARD, ,SISTERS,OR,97759, ,DESCHUTES,41017,LOCATED ON THE WEST CORNER OF HAWKS BEARD AND PERSLEMON., , , ,5/9/2008 12:00:00 AM,PHONE,5/9/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,89853872,-121.6601219,44.3602887,NAVTEQ,2007Q2,ONENTITY,YES,TGS,DESC_FIR01A,00026,0,0,18,0,0,0,1,LOCAL, ,MOSTLY VOLUNTEER, , , ,Y, , ,cb089d02-1853-4084-a8a7-e8ff60571b41,-13543144.8424,5521368.5432
371,10462411,UNCLASSIFIED,MULTNOMAH COUNTY RURAL FIRE PROTECTION DISTRICT 14 STATION 63 - AIMS,503-695-2272,40755 GORDON CREEK ROAD, ,CORBETT,OR,97019, ,MULTNOMAH,41051,FROM THE INTERSECTION OF SE TROUT CREEK RD AND SE GORDON CREEK RD TRAVEL EAST ON SE GORDON CREEK RD APPROXIMATELY 1.5 MILES ON THE NORTH SIDE OF SE GORDON CREEK RD, , , ,3/11/2008 12:00:00 AM,PHONE,3/26/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,124505174,-122.2444448,45.4694975,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR46A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,9097a7a2-a742-42eb-b641-319c69d6a843,-13608191.3985,5695740.06
372,10462410,UNCLASSIFIED,BANDON RURAL FIRE PROTECTION DISTRICT - MAIN STATION,541-347-3560,50530 UNITED STATES HIGHWAY 101, ,BANDON,OR,97411, ,COOS,41011,ON THE WEST SIDE OF UNITED STATES HIGHWAY 101 BETWEEN 17TH SOUTHEAST STREET AND 18TH STREET SOUTHWEST., , , ,3/19/2008 12:00:00 AM,PHONE,3/27/2008 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",42270150,-124.4173103,43.1086901,NAVTEQ,2007Q2,ONENTITY,YES,TGS,COOS_FIR35A,00020,0,0,30,0,0,0,5,LOCAL, ,MOSTLY VOLUNTEER, , , ,N, , ,0ea2da46-788c-4977-b96d-1b5a51499140,-13850073.5678,5328530.7395
373,10462409,UNCLASSIFIED,HILLSBORO FIRE AND RESCUE STATION 1 - DOWNTOWN/MAIN STATION,503-681-6166,240 SOUTH 1ST AVENUE, ,HILLSBORO,OR,97123,3973,WASHINGTON,41067,EAST SIDE OF S 1ST AVENUE BETWEEN SE BASELINE ST & SE WASHINGTON ST., , , ,5/12/2008 12:00:00 AM,PHONE,5/12/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,715299990,-122.9894912,45.52075,NAVTEQ,2007Q2,ONENTITY,YES,TGS,WASH_FIR25A,00161,0,0,117,0,0,0,4,LOCAL, ,MOSTLY CAREER, , , ,Y, , ,6af64166-c6be-4ef3-a8cb-4d9fc1d66c95,-13691129.569,5703879.3409
374,10462408,UNCLASSIFIED,MYRTLE CREEK FIRE DEPARTMENT,541-863-3852,601 RIVERSIDE DRIVE, ,MYRTLE CREEK,OR,97457,9553,DOUGLAS,41019,LOC ON THE N SIDE OF RIVERSIDE DR 0.21 MILES EAST OF DAYS CREEK CUTOFF RD, , , ,3/12/2008 12:00:00 AM,PHONE,3/12/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,112431783,-123.2809765,43.0229909,NAVTEQ,2007Q2,ONENTITY,YES,TGS,DOUG_FIR41A,00249,0,0,42,0,0,0,1,LOCAL, ,VOLUNTEER, , , ,Y, , ,2da28a79-e09c-4dcd-b838-e7aef9e0434d,-13723577.4911,5315472.4623
375,10462407,UNCLASSIFIED,LYONS RURAL FIRE PROTECTION DISTRICT STATION 1,503-859-2410,1114 MAIN STREET, ,LYONS,OR,97358,2306,LINN,41043,SOUTHWEST CORNER OF MAIN ST AND 12TH ST, , , ,3/17/2008 12:00:00 AM,PHONE,3/17/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,120831862,-122.6108288,44.7730098,NAVTEQ,2007Q2,ONENTITY,YES,TGS,LINN_FIR11A,00212,0,0,26,0,0,0,2,LOCAL, ,VOLUNTEER, , , ,Y, , ,38b9b41f-64be-453e-a70f-1f94794fbec5,-13648977.0472,5585857.5149
376,10462406,UNCLASSIFIED,LAKE OSWEGO FIRE DEPARTMENT STATION 214,503-635-0275,300 B AVENUE, ,LAKE OSWEGO,OR,97034,3012,CLACKAMAS,41005,SOUTH SIDE OF B AVE BETWEEN 3RD ST AND 4TH ST., , , ,5/9/2008 12:00:00 AM,PHONE,5/9/2008 12:00:00 AM,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",21356481,-122.6669012,45.4207008,NAVTEQ,2007Q2,ONENTITY,YES,TGS,CLAC_FIR06A,00193,0,0,52,0,0,0,4,LOCAL, ,CAREER, , , ,N, , ,076b8e7b-7fad-48c4-a51a-7934db279d31,-13655219.0169,5687997.6367
377,10462405,UNCLASSIFIED,VERNONIA RURAL FIRE PROTECTION DISTRICT,503-429-8252,555 EAST BRIDGE STREET, ,VERNONIA,OR,97064,1406,COLUMBIA,41009,ON THE SOUTH SIDE OF E BRIDGE ST ACROSS FROM MISSOURI AVE., , , ,5/14/2008 12:00:00 AM,PHONE,5/8/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,120823281,-123.1803206,45.8573826,NAVTEQ,2007Q2,ONENTITY,YES,TGS,COLU_FIR12A,00391,0,0,33,0,0,0,1,LOCAL, ,MOSTLY VOLUNTEER, , , ,Y, , ,727456c4-ff1c-4f22-833c-dac83ae81e19,-13712372.6052,5757524.5003
378,10462403,UNCLASSIFIED,SCIO RURAL FIRE PROTECTION DISTRICT STATION 93,503-394-2011,43042 BURMESTER DRIVE, ,SCIO,OR,97374,9343,LINN,41043,LOCATED ON THE SOUTHEAST CORNER OF BURMESTER DRIVE AND LULAY ROAD., , , ,5/13/2008 12:00:00 AM,PHONE,5/13/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,124516386,-122.69209,44.6984617,NAVTEQ,2007Q2,ONENTITY,YES,TGS,LINN_FIR23A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,8ec10f57-6728-456a-a94a-c9b975fcddaa,-13658023.0005,5574175.1993
